name,primary_category,country_code,funding_total_usd,funding_rounds,status,failed,startup_age_years,founded_year
:Qounter,Application Platforms,USA,700000.0,2,operating,0,12.0,2014.0
0-6.com,Curated Web,CHN,2000000.0,1,operating,0,19.0,2007.0
Ondine Biomedical Inc.,Biotechnology,CAN,762851.0,2,operating,0,29.0,1997.0
H2O.ai,Analytics,USA,33600000.0,4,operating,0,15.0,2011.0
One Inc.,Mobile,USA,1150050.0,3,operating,0,15.0,2011.0
"1,2,3 Listo",E-Commerce,CHL,40000.0,1,operating,0,14.0,2012.0
1-800-DOCTORS,Health and Wellness,USA,1750000.0,1,operating,0,42.0,1984.0
"1-800-PublicRelations, Inc.",Internet Marketing,USA,6000000.0,1,operating,0,13.0,2013.0
1 Mainstream,Apps,USA,5000000.0,1,acquired,0,14.0,2012.0
1 of 99,Entertainment,USA,100000.0,1,operating,0,12.0,2014.0
10-20 Media,E-Commerce,USA,2050000.0,4,operating,0,25.0,2001.0
10 Minutes With,Education,GBR,4400000.0,2,operating,0,13.0,2013.0
1000 Corks,Search,USA,40000.0,1,operating,0,18.0,2008.0
1000 Markets,Art,USA,500000.0,1,acquired,0,17.0,2009.0
Beijing 1000CHI Software Technology,Mobile,Unknown,43923865.0,1,operating,0,18.0,2008.0
1000memories,Curated Web,USA,2535000.0,2,acquired,0,16.0,2010.0
1000museums.com,Curated Web,USA,6795451.0,9,operating,0,18.0,2008.0
ZenChef,Local Businesses,FRA,10661772.8991108,5,operating,0,16.0,2010.0
1001pharmacies.com,Cosmetics,FRA,8900000.0,1,operating,0,14.0,2012.0
1006.tv,Games,CHN,10000000.0,3,operating,0,17.0,2009.0
Redox,Health Care,USA,4000000.0,2,operating,0,12.0,2014.0
100Plus,Analytics,USA,1250000.0,2,acquired,0,15.0,2011.0
1010data,Software,USA,35000000.0,1,acquired,0,26.0,2000.0
10BestThings,Curated Web,USA,50000.0,1,closed,1,0.0,2009.0
Beans Around,Coffee,Unknown,100000.0,1,operating,0,11.0,2015.0
10sec,E-Commerce,USA,1600000.0,2,operating,0,13.0,2013.0
10seconds Software,Enterprise Software,AUS,100000.0,1,operating,0,17.0,2009.0
10X Genomics,Biotechnology,USA,55000000.0,1,operating,0,14.0,2012.0
10X Technologies,Biotechnology,USA,3550000.0,2,operating,0,14.0,2012.0
10X10 Room,Software,USA,77500.0,1,operating,0,16.0,2010.0
117go,Social Travel,CHN,20000000.0,1,operating,0,15.0,2011.0
12 Labs,Health and Wellness,USA,935000.0,1,operating,0,12.0,2014.0
121cast,Audio,AUS,440000.0,3,operating,0,14.0,2012.0
121nexus,Health Diagnostics,USA,794000.0,6,operating,0,15.0,2011.0
1234ENTER,Advertising,Unknown,650267.0,2,operating,0,14.0,2012.0
123ContactForm,E-Commerce,ROM,1000000.0,2,operating,0,18.0,2008.0
123Greetings,Internet,Unknown,5400000.0,1,operating,0,29.0,1997.0
1248,Software,GBR,378812.0,1,operating,0,13.0,2013.0
128 Technology,Service Providers,USA,11999347.0,1,operating,0,12.0,2014.0
12Bis,Publishing,FRA,130636.0,1,operating,0,18.0,2008.0
12Return,Consumer Goods,NLD,619494.0,1,operating,0,16.0,2010.0
1366 Technologies,Manufacturing,USA,71450000.0,9,operating,0,19.0,2007.0
13th Lab,Augmented Reality,SWE,700000.0,1,acquired,0,16.0,2010.0
140 Proof,Advertising,USA,5500000.0,2,operating,0,16.0,2010.0
140Fire,Advertising,USA,500000.0,1,operating,0,16.0,2010.0
15Five,Software,USA,3400000.0,3,operating,0,15.0,2011.0
15MinutesNOW,Games,Unknown,200000.0,1,operating,0,15.0,2011.0
16 Mile Solutions,Software,USA,199957.0,1,operating,0,20.0,2006.0
169 ST.,Entertainment,USA,50000.0,1,closed,1,0.0,2009.0
16WiFi,Public Transportation,CHN,16000000.0,1,operating,0,15.0,2011.0
170 Systems,Software,USA,14000000.0,1,acquired,0,36.0,1990.0
17hats,Internet,USA,5250000.0,2,operating,0,12.0,2014.0
17u.cn,Travel,CHN,84440319.0,3,operating,0,22.0,2004.0
17zuoye,Education,USA,135000000.0,5,operating,0,19.0,2007.0
19pay,Finance,CHN,9478511.0,3,operating,0,21.0,2005.0
One Block Off the Grid (1BOG),Clean Technology,USA,5000000.0,1,closed,1,2.0,2008.0
1C Company,Games,RUS,200000000.0,1,closed,1,20.0,1991.0
1calendar,Advertising,DNK,40000.0,1,operating,0,17.0,2009.0
1CommMedical,Health Care,USA,2500000.0,1,operating,0,13.0,2013.0
1DayLater,Curated Web,AUS,43811.0,2,closed,1,0.0,2009.0
1DayMakeover,Cosmetics,USA,50000.0,1,closed,1,0.0,2008.0
1doc3,Health and Wellness,COL,37639.0,1,operating,0,13.0,2013.0
1DocWay,Doctors,USA,1700000.0,2,acquired,0,15.0,2011.0
1Energy Systems,Software,USA,1450000.0,1,operating,0,16.0,2010.0
Babyscripts,Health and Wellness,USA,2100000.0,3,operating,0,13.0,2013.0
1Lay,Mobile,Unknown,212000.0,2,operating,0,13.0,2013.0
1Life Healthcare,Health and Wellness,USA,30000000.0,1,operating,0,24.0,2002.0
1Mind,Social Media,USA,500000.0,1,operating,0,15.0,2011.0
1mpact Revolution - Powering Helpfreely.org,Non Profit,ESP,761234.47320427,4,operating,0,13.0,2013.0
1SDK,Mobile,Unknown,156000.0,2,operating,0,13.0,2013.0
1spire,Manufacturing,USA,30000.0,1,operating,0,15.0,2011.0
1st Merchant Funding,Financial Services,USA,10000000.0,1,operating,0,19.0,2007.0
